pdb,radius,compactness,openness,n_pocket_res
5acc.pdb,6.615673542022705,1.0853986740112305,7.772678375244141,7
5ak2.pdb,6.369473934173584,1.367464542388916,7.980652332305908,14
5di7.pdb,6.477057933807373,1.455946683883667,7.99574613571167,15
5did.pdb,6.389508247375488,1.4308773279190063,7.903048515319824,14
5die.pdb,6.431509017944336,1.4309442043304443,7.950170516967773,15
5dig.pdb,6.574052810668945,1.4421074390411377,7.838098526000977,16
5dk9.pdb,6.420119285583496,1.4131160974502563,7.9692816734313965,14
5dkb.pdb,4.71694803237915,1.74247407913208,7.347155570983887,10
5dke.pdb,6.285597801208496,1.3687851428985596,7.849046230316162,14
5dkg.pdb,6.312923908233643,1.3929336071014404,7.8797407150268555,14
5dks.pdb,6.353392601013184,1.3841843605041504,7.988661766052246,14
5dl4.pdb,6.418705940246582,1.3889143466949463,7.965047836303711,14
5dlr.pdb,6.342919826507568,1.4188464879989624,7.842947006225586,14
5dmc.pdb,6.324617862701416,1.3942253589630127,7.918397903442383,14
5dmf.pdb,6.230428218841553,1.3410446643829346,7.918624401092529,12
5dp0.pdb,6.2166876792907715,1.338106632232666,7.633656024932861,12
5drj.pdb,6.561230659484863,1.4280868768692017,7.99398946762085,16
5drm.pdb,6.5436835289001465,1.4125853776931763,7.9990057945251465,16
5dtv.pdb,6.456960678100586,1.4071913957595825,7.988038539886475,15
5du5.pdb,6.392903804779053,1.4006747007369995,7.979458808898926,14
5due.pdb,6.495238304138184,1.3689161539077759,7.979982376098633,14
5dug.pdb,6.351799964904785,1.3756963014602661,7.903831481933594,14
5duh.pdb,6.374642848968506,1.3826351165771484,7.86776876449585,14
5dvs.pdb,6.348855018615723,1.4183993339538574,7.906180381774902,14
5dvv.pdb,6.369292736053467,1.4318495988845825,7.933183193206787,15
5dwe.pdb,6.572049140930176,1.395635724067688,7.975123882293701,16
5dwg.pdb,6.525413513183594,1.4373295307159424,7.987387180328369,16
5dwi.pdb,6.34080171585083,1.3997353315353394,7.832607746124268,14
5dwj.pdb,6.409289836883545,1.4289830923080444,7.874484062194824,14
5dx3.pdb,6.405263423919678,1.3835136890411377,7.823680400848389,13
